Transaction_ID,Amount,Merchant_Category,Device_Type,State,Bank,Hour,Is_Night,Fraud_Score,Is_Fraud,Status,Indicators
TXN00000580,2045,Retail,iPhone 14,West Bengal,Axis Bank,23,1,0.134,0,CLEARED,""
TXN00000065,4958,E-commerce,Google Pixel 7,Rajasthan,Union Bank,23,1,0.034,0,CLEARED,""
TXN00000013,1061,Healthcare,iPhone 14,Telangana,Union Bank,18,0,0.028,0,CLEARED,""
TXN00000143,2370,Utility Bills,Google Pixel 7,Telangana,Axis Bank,12,0,0.314,0,CLEARED,""
TXN00000044,2873,Retail,Google Pixel 7,West Bengal,Bank of Baroda,3,1,0.144,0,CLEARED,""
TXN00000153,645,Healthcare,OnePlus 11,Tamil Nadu,Kotak Mahindra,6,0,0.244,0,CLEARED,""
TXN00000302,3416,Education,Google Pixel 7,Delhi,HDFC Bank,4,1,0.068,0,CLEARED,""
TXN00000115,4476,Food & Dining,Samsung Galaxy S23,Tamil Nadu,Bank of Baroda,12,0,0.075,0,CLEARED,""
TXN00000218,3657,Food & Dining,Vivo V27,Maharashtra,Union Bank,18,0,0.334,0,CLEARED,""
TXN00000066,4500,Travel,Vivo V27,Karnataka,Punjab National Bank,9,0,0.296,0,CLEARED,""
TXN00000001,5476,Healthcare,Vivo V27,Telangana,HDFC Bank,5,1,0.186,0,CLEARED,""
TXN00000454,2182,Food & Dining,OnePlus 11,Maharashtra,Bank of Baroda,9,0,0.133,0,CLEARED,""
TXN00000394,4455,E-commerce,Google Pixel 7,Tamil Nadu,Axis Bank,12,0,0.131,0,CLEARED,""
TXN00000385,5753,Travel,Oppo Reno 10,Karnataka,HDFC Bank,3,1,0.172,0,CLEARED,""
TXN00000056,8891,Utility Bills,Redmi Note 12,Rajasthan,Bank of Baroda,13,0,0.136,0,CLEARED,""
TXN00000036,4482,Education,OnePlus 11,Tamil Nadu,Kotak Mahindra,15,0,0.024,0,CLEARED,""
TXN00000409,86,Education,Oppo Reno 10,Karnataka,Union Bank,12,0,0.286,0,CLEARED,""
TXN00000366,1808,Retail,Google Pixel 7,Gujarat,Kotak Mahindra,20,0,0.242,0,CLEARED,""
TXN00000397,4820,Healthcare,iPhone 14,West Bengal,Bank of Baroda,21,0,0.286,0,CLEARED,""
TXN00000337,3245,Entertainment,OnePlus 11,Kerala,Kotak Mahindra,2,1,0.108,0,CLEARED,""
